"";"ID";"Somme";"Moy";"Nbrcol";"Min";"Max";"SD";"targetMoy";"targetSD"
"51";"X2d6bd8275";1388670246,38;6774001,20185366;205;2000;1e+08;12470350,4551317;4782295,34263415;7388087,25615427
"52";"dfdf4b580";1082645371,62;7266076,31959732;149;1123,96;125800000;16001879,0912399;4408769,09449664;6371295,36521113
"53";"c87722678";44164000;8832800;5;124000;3e+07;12023364,72041;10753800;6919903,9155179
"54";"a8c320153";333564000;7581000;44;68000;8e+07;17921011,7991975;3647341,70636364;5703927,06878156
"55";"a04684f1f";672976000;19227885,7142857;35;26000;7,6e+07;25372300,9920979;7381985,71485714;8076245,53686047
"56";"fa977f17b";49442333,32;1454186,27411765;34;14000;2e+07;3768178,68784352;1543607,84352941;3620000,98164344
"57";"feed9d437";2255844999,98;9059618,47381526;249;2000;106666666,66;14839821,9678359;4629819,11413655;6353049,92638573
"58";"X645b47cde";3997668000;23938131,7365269;167;28000;302312000;36462784,7446124;6790439,37197605;8074365,47733664
"59";"X7298ca1ef";3478876000;23665823,1292517;147;6000;398232000;52152530,9457815;4287716,23918367;6039803,37113231
"60";"d80abf8bc";305818000;9267212,12121212;33;8000;1,2e+08;23591700,3676049;9469856,56606061;11160668,1222982
"61";"X654dd8a3b";5074258000;17259380,952381;294;12000;860600000;62988989,9384974;6834299,5870068;9468622,95715802
"62";"X7fc39583c";6788000;357263,157894737;19;20000;2e+06;407112,984877835;2573005,26315789;2945299,48118348
"63";"X8c94b6675";1141340529,58;3215043,74529577;355;1950;4e+07;4367294,03871551;5313259,94957746;6748975,57941485
"64";"e421c414e";2547558000;67041000;38;20000;6e+08;109756366,420777;5868901,31578947;7679784,6295385
"65";"X964335fdf";4,3e+08;71666666,6666667;6;1e+07;1,5e+08;49564772,436345;1741333,33333333;2741779,76261163
"66";"X5a86cabd0";117476614;4518331,30769231;26;6400;20800000;5598154,01755083;4963655,31076923;6540057,20585914
"67";"X6cb207ac9";259132000;15243058,8235294;17;120000;5e+07;14503744,9839282;2779290,19647059;3100915,10669227
"68";"c1bc828da";48156000;16052000;3;5404000;29752000;12457620,3185039;2109523,80666667;3167562,75262232
"69";"e90ed19da";3e+06;3e+06;1;3e+06;3e+06;NA;1e+07;NA
"70";"c4d38135f";432388000;18016166,6666667;24;120000;1,1e+08;28834181,8946928;4036676,7675;4569139,598751
"71";"X968b01ca3";1,92e+08;27428571,4285714;7;1e+06;1e+08;36587143,2011171;7441380,95428571;12148180,8297286
"72";"X26b423c42";33783000;844575;40;2000;6800000;1106786,9849832;3303319,1135;6642893,27778442
"73";"X0656586a4";465373024;3753008,25806452;124;10720;53800000;7901455,97799618;4628278,41967742;6465579,00389833
"74";"b4ced4b7a";1338915569,02;7739396,35271676;173;1123,96;1e+08;15742545,2238067;3769538,41641618;5808212,22140824
"75";"X0b8e10df6";5185682292;16462483,4666667;315;52;516124000;39039706,8910565;4762024,91377778;6633567,91431579
"76";"X603e85eb7";16958000;4239500;4;8000;1,5e+07;7219476,68925294;12202750;13113409,6093782
"77";"X605728195";269942720;6277737,6744186;43;2000;4e+07;8739622,70052912;5966993,90883721;8290304,58947252
"78";"X4e8196700";361484529,6;2824097,8875;128;1256;18157000;3391062,36843718;4622967,1059375;5346007,10670317
"79";"f115e74c0";1013459393,34;4524372,29169643;224;2000;99800000;9416174,40476151;4979368,1525;7275345,60226044
"80";"X9ca0eee11";1034743388,96;3233573,0905;320;242;6e+07;5391801,30082163;5626028,2426875;7401373,21898377
"81";"X472cd130b";351823500,16;1374310,5475;256;2000;4e+07;3135396,70202194;4252441,19328125;5988002,97400209
"82";"ee7e4581d";743408000;25634758,6206897;29;40000;1e+08;35412439,7207446;6092793,48551724;8389966,14536833
"83";"X3e0e55648";121326500,1;1378710,22840909;88;38000;10900000;1940846,392755;3290383,25659091;7045068,83452238
"84";"a939664aa";242644080;3568295,29411765;68;23680;6,4e+07;8099003,84669924;3476222,85794118;5190780,33434828
"85";"b0f5ed414";347516916,66;4760505,70767123;73;600;28400000;7066127,54402602;5648686,4969863;7092930,33755341
"86";"a72e0bf30";1579246000;15185057,6923077;104;10000;2e+08;29466021,5202129;4249166,35288462;5952732,11311666
"87";"e662f1672";765806000;10636194,4444444;72;1e+05;1e+08;20819878,7704923;5231247,56583333;6362483,74023983
"88";"X54b1c1bc0";994911007,38;2834504,29452991;351;1206;6e+07;5298145,40656785;5680235,39430199;7044842,60218027
"89";"ec1425047";625691146,66;4345077,40736111;144;800;2,8e+07;4517478,88274361;4561814,42875;6205739,7632837
"90";"X78a879b5d";96526500;7425115,38461538;13;20000;3,5e+07;12593382,1776788;4494538,46;3708162,57771349
"91";"bd550871c";800472000;5973671,64179104;134;20000;92600000;12923320,3633849;3175530,14477612;4333844,64918391
"92";"X828b327a6";2311526499,98;9631360,41658333;240;22000;1,5e+08;16521021,2087061;5212158,96175;7144391,76615164
"93";"X3268914c7";873368000;10397238,0952381;84;18000;92600000;20021879,3068676;4556791,91880952;6073950,64295707
"94";"X21e0e6ae3";1078984164,3;4247969,1507874;254;4000;79800000;9025529,54074591;4450211,46283465;6481915,47678909
"95";"ec73030f6";132695504;18956500,5714286;7;895504;108800000;39699957,0319079;5170408,16285714;5355741,98447284
"96";"c5b30277a";151188400;8893435,29411765;17;80000;106420000;25316379,5243549;6836694,11764706;8130633,32346185
"97";"c16a7d537";129357000;3404131,57894737;38;60000;24600000;7423457,85303133;1714649,74894737;3993038,52747561
"98";"X64534cc93";2462183202,38;7220478,59935484;341;6000;6e+07;13021935,4582273;7337440,53307918;9922604,85137594
"99";"bd6671d31";78420000;19605000;4;6e+05;7e+07;33704521,4573159;7232250;10417730,4110188
"100";"X0f8d7b98e";2474752037,6;7614621,65415385;325;248;9,4e+07;12184866,1647386;5703898,52732308;7601054,0928309
"101";"aab0aeb4b";139256748;4492153,16129032;31;18546;21730000;5761156,54768644;3990057,60387097;5555493,96858006
"102";"X9a9b4a012";153236706;5893719,46153846;26;87292;5e+07;10125595,2038039;4905908,97384615;7970354,83347592
"103";"X8367dfc36";1496696715,98;7230418,91777778;207;740;1,12e+08;15106754,5044244;5128199,83304348;6764301,30841947
"104";"X251d1aa17";3962981895,26;5959371,27106767;665;2000;148452000;13828069,793945;4979609,44369925;7768062,22097435
"105";"X92e056c5c";55276833,32;1493968,46810811;37;28000;2e+07;3658650,04499475;1440810,81081081;4142092,52564341
"106";"c377b9acf";4240000;2120000;2;240000;4e+06;2658721,49726142;8080000;2715290,03975634
"107";"e0f6a993a";27863833,34;1393191,667;20;62000;1e+07;2373339,26363136;1437075;3326578,29335641
"108";"f3e544d66";123190500;7246500;17;20000;5e+07;12735994,1749751;4386764,70705882;5109971,62602775
"109";"X0cb171797";24515666,66;875559,523571429;28;28000;1e+07;2054321,25274082;1472663,69071429;3834649,9067169
"110";"X80c0c9910";352947908;8208090,88372093;43;7742;103360000;18628658,2413233;4257637,83674419;5743438,51566027
"111";"X9f8df01bd";545928000;7478465,75342466;73;40000;2e+08;24786847,1764105;4643474,08630137;5289401,45970833
"112";"X0a69cc2be";2500210705,22;8772669,14112281;285;1066;1,2e+08;14671831,475385;5158722,38912281;7587286,65433127
"113";"X563d2f09a";96706000;32235333,3333333;3;6000;66700000;33403142,7463545;14666666,6666667;21962088,5467055
"114";"X963a49cdc";10744482577,92;7304202,97615228;1471;2000;319612000;14723660,2846607;5828634,45709042;8505307,33323986
"115";"X7ee833549";737802000;9970297,2972973;74;8000;6e+07;17151526,3642258;9110213,41918919;12133952,0908553
"116";"X7b58c8e37";92210000;23052500;4;6e+06;6e+07;25487860,3456626;6231500;4668172,62605687
"117";"cde9c35e8";2086000;2086000;1;2086000;2086000;NA;3785000;NA
"118";"X587a5d8c3";1049607666,66;4524170,97698276;232;2000;110810000;10071706,9243681;4489679,40991379;5884111,27479888
"119";"X408d191b3";2404229817,8;8806702,62930403;273;263;1,2e+08;14491621,8859235;5286805,95076923;7276671,24942281
"120";"X42fdff3a0";233247166,68;1586715,41959184;147;8000;20800000;3432546,81976161;3405702,20340136;6016032,76269144
"121";"X1e8801477";11892224000;20937014,084507;568;4000;3,56e+08;46538876,9751608;6650832,74271127;9205277,40641506
"122";"X3770cb9fa";701254000;21250121,2121212;33;40000;1e+08;29143812,0916748;4710029,77393939;6822177,71950363
"123";"X133714358";311840000;13558260,8695652;23;36000;1,26e+08;32013488,6588555;5281347,54956522;6914486,29048371
"124";"X15dba7177";13762000;6881000;2;3e+05;13462000;9306939,45397734;8302666,67;10893215,6711532
"125";"X604ac0633";2000;2000;1;2000;2000;NA;48000;NA
"126";"cbf34125e";22135000;5533750;4;1469000;13462000;5576125,55902394;4668750;6513386,49116827
"127";"X4563c7ee5";48800000;9760000;5;4e+06;2e+07;7224126,24474407;1484800;1045138,84245109
"128";"c679b0013";3e+06;1500000;2;1400000;1600000;141421,35623731;54333,33;25927,2439294615
"129";"X93f686d09";642644545,22;14605557,8459091;44;7600;301312000;46214606,0935454;3595187,73454545;6851367,50644047
"130";"X8e7a80f64";110023000;7334866,66666667;15;3000;3,5e+07;11080924,3223702;4976946,032;6446430,59901832
"131";"e034322f0";320576000;8664216,21621622;37;1e+05;76500000;15511943,5832435;3885467,26702703;5822918,83262582
"132";"X60cb16e88";238804000;9950166,66666667;24;10000;1,2e+08;26289396,506323;11204634,7225;11985471,8936665
"133";"X9d435a85b";256341166,66;3464069,81972973;74;8000;5e+07;8145102,13567152;3699266,78918919;6316314,78626845
"134";"X73a32cd05";124360000;15545000;8;6e+05;7e+07;24007605,3425933;4399136,3625;10407603,4420302
"135";"X29eddc376";689560264;4129103,37724551;167;20000;1,6e+07;4137570,83589631;5032471,17173653;6099584,11040944
"136";"d8fa4d098";4,54e+08;30266666,6666667;15;8e+06;3,3e+07;7025124,97770545;8984000;9782176,79543479
"137";"ef6fab1bc";294546000;5890920;50;50000;61768000;12805281,8197518;3489137,8852;5468831,1733457
"138";"X1de1fda2c";1,6e+07;1,6e+07;1;1,6e+07;1,6e+07;NA;6e+05;NA
"139";"X665493ecc";233084300;4756822,44897959;49;60000;6,4e+07;10924929,504831;3211895,87510204;5317057,14814595
"140";"ad207f7bb";1707065630,94;4035616,14879433;423;4000;5e+07;8081875,57910497;6673988,60165485;9943416,47501581
"141";"e7620cba2";183640000;30606666,6666667;6;6e+05;1,5e+08;58775262,3700368;7233379,63;10627781,5522644
"142";"d40eb2705";542505201,22;16953287,538125;32;15619,22;301312000;53920568,8684632;3952590,47625;5806488,79159651
"143";"X5d26f4d92";1860000;1860000;1;1860000;1860000;NA;1202000;NA
"144";"fd206ec4d";153283000,08;1892382,71703704;81;4000;27400000;4368477,31356129;3434288,2817284;7278075,64836198
"145";"X19a4e3e16";1,02e+08;3,4e+07;3;6e+06;6e+07;27055498,5169374;2656444,44666667;2351841,38717698
"146";"e975d3be7";316970000;15848500;20;154000;7,6e+07;24305168,5460651;4816939,503;4675460,35053506
"147";"X0564ff72c";1363243790,26;5901488,26952381;231;10000;87532000;9773545,74006842;4374931,78883117;7065818,22422974
"148";"bd7e6d2af";5,9e+08;98333333,3333333;6;3e+07;2e+08;57416606,1925177;5291666,66666667;9746141,50659976
"149";"X4e86dd8f3";5274252639,3;16178689,0776074;326;368;197400000;29547676,8729341;5120288,2497546;7266476,16073694
"150";"X2127bb611";222345714;3970459,17857143;56;18000;2e+07;4722360,22859725;5835538,815;8249838,89330799
"151";"X59dfc16da";2355635206,1;5200077,71766004;453;4000;1,3e+08;11490816,5264551;5000078,83108168;7227101,26190492
"152";"X2f92a1a45";688101000,04;6881010,0004;100;6000;1e+08;16489412,8670001;5159134,111;7868259,46072487
"153";"X63f968fa6";1690552000;16574039,2156863;102;40000;2,85e+08;34915167,6501496;4712739,99843137;6559613,25496727
"154";"X312832f30";898914000;11378658,2278481;79;66000;1,2e+08;19369352,5982156;8064368,1164557;11812488,2063334
"155";"X6679fe54f";846061898;11433268,8918919;74;10000;197400000;26099585,8289197;3716144,82837838;5261042,31962556
"156";"X9f05b2279";84820000;28273333,3333333;3;5e+06;59820000;28330974,8037962;20932333,3333333;9891509,30512292
"157";"dd2fc27b0";46725500;1797134,61538462;26;50000;2e+07;4277058,07900172;2849435,89769231;5918630,52533192
"158";"af1d28337";3,7e+08;92500000;4;3e+07;2e+08;78049129,826454;819000;959140,587540047
"159";"X26b260c2b";29740000;7435000;4;1e+05;2e+07;9152010,70803569;6069666,665;9396960,05348798
"160";"X7207afb67";490428000;6539040;75;2000;57840000;12696441,7290617;4044236,416;6443227,38026204
"161";"X4a3248e89";640000;640000;1;640000;640000;NA;4e+05;NA
"162";"X4b6c549b1";1377885924,26;4800996,251777;287;1494;68640000;8285255,00891397;4445938,80585366;6317393,04318617
"163";"f402f59ff";438630000;21931500;20;120000;1,1e+08;30238748,6852983;4469490,919;6912505,06992182
"164";"a75d400b8";3574059140,7;5927129,58656716;603;810,66;1e+08;9704846,57675325;5560209,43890547;6987199,94502479
"165";"X8b6ae05dc";127400000;10616666,6666667;12;9400000;2,4e+07;4214656,96508427;6678079,365;4699591,13288733
"166";"d318bea95";1147460995,66;7355519,20294872;156;2400;1e+08;15119898,9089905;4202244,93538462;6637271,09377302
"167";"X35da68abb";1257088345,26;4604719,21340659;273;4000;1,17e+08;10167383,7652693;3945855,15018315;6045881,60136158
"168";"X4e98771c9";729492000;28057384,6153846;26;80000;275720000;58146998,9341338;9347542,67461539;12467957,9888305
"169";"X72505ebb2";280828000;7800777,77777778;36;1e+05;53600000;12983572,4538161;4940844,19111111;7482197,29240497
"170";"X1a6d866d7";1653070851,62;7346981,56275556;225;800;1,12e+08;14464632,493852;5752040,64186667;7629668,430089
"171";"X13bc4dacc";7058000;294083,333333333;24;32000;4e+05;59585,4641354071;2805569,44416667;2842053,23588297
"172";"X851697562";231336000;11016000;21;10000;1,2e+08;28014195,2588326;8703753,96857143;11240635,8468849
"173";"X593d5a082";344966000;14373583,3333333;24;6000;106420000;31536479,2442528;3855060,185;6577234,89288617
"174";"eef3f5c49";163840000;81920000;2;18760000;145080000;89321728,5994847;4981000;6311635,12887112
"175";"b495b7492";41408000;13802666,6666667;3;28000;39180000;22004230,9870928;5391666,66666667;4425517,86046936
"176";"ddd416fe0";17222000;3444400;5;8000;14120000;6013061,18378983;4826800;4853792,24936544
"177";"X256f1449f";123363414;4405836,21428571;28;1e+05;2e+07;5136578,03422082;5928598,34071429;8942414,14117628
"178";"e059a8594";804700586;4705851,38011696;171;15630;6e+07;7222742,76076814;5308106,00070175;6872022,03470882
"179";"c40750aed";666688870;18519135,2777778;36;20000;301312000;51323233,4327931;1886518,98166667;2056828,92704096
"180";"X22a123588";126220000;21036666,6666667;6;1220000;7e+07;25930523,8409614;2650500;4752813,13539676
"181";"X5502d45f5";66706000;33353000;2;6000;66700000;47159779,6644556;3e+06;2828427,12474619
"182";"beb7f98fd";4022914378,3;6436663,00528;625;822;2e+08;13744809,0587175;5231883,598048;6772380,87101318
"183";"X503de0024";123406000;11218727,2727273;11;8000;4e+07;12053871,2876064;5973827,50727273;7713984,31242166
"184";"X68891097e";209013462;2679659,76923077;78;4000;4e+07;5819960,96154667;4106646,36205128;6655459,50677901
"185";"X6035df6d8";247374000;6685783,78378378;37;68000;7e+07;14236271,5217448;4537079,85837838;7629678,80100765
"186";"X7eacd712f";211951200;4509600;47;600;2,7e+07;6923961,86210931;4090709,72638298;6076825,77768923
"187";"X99f466457";1625105076,4;7190730,42654867;226;614;1,12e+08;15198755,189113;5240344,63230089;6760124,70878851
"188";"X701aaedab";19640000;6546666,66666667;3;1220000;1e+07;4680185,18152149;1862363,63333333;2721216,71542117
"189";"X6fec5a793";189615960;7292921,53846154;26;40000;85600000;16768740,9354229;3605400,39692308;4554665,22301943
"190";"fe0dd1a15";3044366000;17103179,7752809;178;2000;430950000;46183687,1821806;5757556,57629213;7745649,94857624
"191";"c035b5d2d";514720000;102944000;5;3e+07;2e+08;75903462,8986056;174866,668;187909,788108845
"192";"X1fb62e0dc";34048666,66;2269911,11066667;15;12000;26666666,66;6884414,05329373;7269177,77733333;8140364,96381899
"193";"f7faf2d9f";197277583,34;1541231,11984375;128;8000;4,8e+07;5023407,19755029;2833197,03765625;5377260,26583706
"194";"ffb34b926";3547323794;20623975,5465116;172;20000;144400000;27025598,6501289;5299741,82581395;7440431,76356868
"195";"bc2bf3bcd";1314281280,98;4940907,07135338;266;2000;79800000;9494453,91107666;3989352,9275188;5796327,10195073
"196";"X025dea3b3";2624534657,58;18353389,2138462;143;1651,58;144400000;28578936,9872139;4837115,17006993;6749886,3189782
"197";"e700276a2";2613100000;13681151,8324607;191;2000;214400000;31366547,5081669;5927373,20910995;8303583,4175676
"198";"b5ad8afe0";14140000;7070000;2;20000;14120000;9970205,61473032;766000;517602,163828553
"199";"X52695ed4a";142656444;4601820,77419355;31;144000;33500000;7618842,39182777;4314782,14387097;6245359,0374115
"200";"X530e9b9b8";111188000;8552923,07692308;13;24000;2e+07;7558387,50948837;3229200;4980348,74983194
"201";"X68a945b18";6495057282,66;7650244,14918728;849;2000;96600000;13150841,8050448;6330486,19684334;9099875,21696049
"202";"X90db65912";348800000;7927272,72727273;44;40000;1e+08;17830012,5296538;5812140,50090909;9129473,81120047
"203";"d6033b6eb";2e+06;2e+06;1;2e+06;2e+06;NA;6e+06;NA
"204";"X4ea447064";1121952274;6338713,41242938;177;5348;4,5e+07;8157258,15192094;4645922,74011299;7237066,67992437
"205";"X018d6afbb";5,4e+08;9e+07;6;3e+07;2e+08;61318838,8670236;3995111,11;4196264,29823678
"206";"f9db72cff";1613410460;12507057,8294574;129;276;92206000;19755866,3772943;4559806,13705426;5705741,6465381
"207";"X4b336f62e";322642000;17924555,5555556;18;154000;7,6e+07;24161879,87238;8338037,03777778;11695835,4814062
"208";"X99197edf2";755664266,66;3388628,99847534;223;2000;6e+07;7045467,23682861;4633023,54995516;6302104,26472278
"209";"X526ed2bec";1685823099,92;5155422,32391437;327;2000;1,04e+08;10216904,2041476;4561257,72079511;6240843,31569515
"210";"X77eb013ca";263345600;2106764,8;125;38000;3e+07;4841652,85312198;2677059,77776;5987047,28754693
"211";"X9dbb6b717";1736620923,92;6603121,38372624;263;6000;7,6e+07;13466194,4228684;5134235,97231939;6982064,31177677
"212";"bf6f90180";19600000;19600000;1;19600000;19600000;NA;8680000;NA
"213";"X94e87cc26";32002000;16001000;2;2000;3,2e+07;22626002,7844071;324000;319612,265096319
"214";"X186b87c05";209576351,5;1624622,87984496;129;4000;3,4e+07;4031807,55927863;2331596,28186047;4717614,0365768
"215";"ed0860a34";374431500;4680393,75;80;40000;5e+07;9232939,09566394;4991048,35375;8015402,51618116
"216";"bd16de4ba";387405657,36;3201699,64760331;121;2000;3e+07;6351945,83843516;4041487,22578512;6464699,79746712
"217";"fcab1682f";16800000;16800000;1;16800000;16800000;NA;1266666,66;NA
"218";"X55d7eb6d2";170609086;6318855,03703704;27;26000;85600000;16403956,7515983;5423332,02444444;8177561,8119024
"219";"X0e1f6696a";2442240769,06;7334056,36354354;333;8000;6e+07;12741193,6574724;7453664,35915916;9636980,61703783
"220";"X49db469f5";457866000;5144561,79775281;89;2000;57840000;10833855,2316706;3640279,76134831;6234020,67247538
"221";"X1e6040658";28346000;2576909,09090909;11;12000;17500000;5356146,32836978;4512484,84727273;5847739,64581791
"222";"f99a09543";5818519922,16;16390196,963831;355;4000;1e+08;26416606,429264;5842989,96191549;8669279,6720166
"223";"X0c4bf4863";271241884,86;1883624,20041667;144;30000;4e+07;4687703,67545065;3096931,85319444;5506654,23167881
"224";"X7d182d05c";4,3e+08;107500000;4;3e+07;2e+08;69940450,861191;2310000;2588255,52576763
"225";"X2a933bcb8";704155114;4319970,02453988;163;4000;4e+07;4974001,13756003;4774184,13901841;5658581,2999606
"226";"adc70e02f";61643000;1044796,61016949;59;2000;1,2e+07;1568462,49974035;2330259,38237288;3550443,48642914
"227";"X1520de553";2543940833,34;12979289,9660204;196;22000;2e+08;27059226,3059076;5302180,4077551;7675620,57129973
"228";"ea21d2722";174640000;29106666,6666667;6;8e+05;1,5e+08;59704534,7244802;1570000;1689674,52487158
"229";"dd0491aad";795206690;5890419,92592593;135;2100;7e+07;8870311,74970231;6090487,65377778;7232095,00053078
"230";"X7210546b2";2950601128,9;19540404,8271523;151;622,9;260400000;34852463,975115;4001886,79443709;5771945,62329831
"231";"X188e8ca61";1202000;601000;2;54000;1148000;773574,818618083;5652000;7905453,8136656
"232";"X50640c29c";304594000;23430307,6923077;13;8000;9,6e+07;26658902,6761687;5564201,92307692;6861649,93284279
"233";"X8e028d2d2";1108493730,68;6407478,21202312;173;472,68;6e+07;9979996,41126794;4342086,01641618;6448664,77847519
"234";"b728093e6";817564000;24774666,6666667;33;40000;1e+08;30921429,3923594;4306838,67212121;5324794,65322053
"235";"X607a7b8f0";958327333,34;31944244,4446667;30;180000;1,6e+08;43720425,8082944;6474811,11133333;8987178,82303432
"236";"X2991c6c02";258105462;3740658,86956522;69;4000;3,8e+07;7515239,88342425;4033811,41594203;5702821,07925655
"237";"eb4dc2cdf";488180000;15747741,9354839;31;20000;65280000;21708310,9537457;5356727,95677419;7939868,47046491
"238";"X3ccc39318";702000;351000;2;2000;7e+05;493560,53326821;3183000;3983839,60520501
"239";"b4e4a184a";701532000;13236452,8301887;53;40000;1,75e+08;31302081,9574022;5266980,75207547;7267848,65680221
"240";"X90b0ed912";417121340;4089424,90196078;102;2000;4,3e+07;7092639,38734582;4236637,17980392;6010132,42380426
"241";"c38ca8ae3";565100000;23545833,3333333;24;42000;1e+08;32039220,2636308;2515083,33416667;3224599,61793242
"242";"b21f5b472";38852000;9713000;4;52000;2e+07;9267743,84626593;3918000;6736223,67007906
"243";"X1ff6be905";437329179,38;3644409,82816667;120;511,12;37200000;5267175,41826865;5642507,62816667;6977702,96332991
"244";"b9b7f388d";292988192;7324704,8;40;4200;103360000;16941591,8162995;6733169,722;7472389,37688853
"245";"X51ebff825";258896000;7191555,55555556;36;68000;7e+07;15287554,4609602;3226294,14166667;5492346,39856303
